showid,name,season,release_year,episode_count
81675379,Fisk,Season 2,2022,6
81680399,Pending Train,Season 1,2023,10
81680654,Light the Wild,Season 1,2023,10
81681294,Kübra,Season 1,2024,8
81682804,Yizo Yizo,Season 1,1999,13
81682804,Yizo Yizo,Season 2,2000,13
81682804,Yizo Yizo,Season 3,2004,13
81683734,Bitch and Rich,Season 1,2023,10
81684733,【OSHI NO KO】,Season 1,2023,11
81686608,How a Realist Hero Rebuilt the Kingdom,Season 1,2021,13
81686608,How a Realist Hero Rebuilt the Kingdom,Season 2,2022,13
81686735,A Nation of Kimchi,Season 1,2023,2
81689795,Till the End of the Moon,Season 1,2023,40
81689583,Morphle,Season 1,2023,6
80104199,The Tom and Jerry Show,Season 2,2016,26
80104199,The Tom and Jerry Show,Season 3,2019,26
81699964,Om Nom Stories,Season 1,2023,3
81702995,Starlight BnB,Season 1,2023,13
81704795,Trillion Game,Season 1,2023,10
81705343,The Masterful Cat Is Depressed Again Today,Season 1,2023,13
81705641,Hidden Love,Season 1,2023,25
81708816,Let's Feast Vietnam,Season 1,2023,10
81710033,Miraculous Brothers,Season 1,2023,16
81712942,The Legend of Anle,Season 1,2023,39
81712983,When I Fly Towards You,Season 1,2023,24
81714054,Lost You Forever,Season 1,2023,39
81716863,Last Stop Larrimah,Season 1,2023,2
81437281,Yellowjackets,Season 1,2021,10
81648571,Bebefinn,Season 1,2022,3
81648571,Bebefinn,Season 2,2023,3
